headline_n,likely_true,favors_r,benefits_r,important,funny,surprising,reputation_overall,reputation_engage,reputation_partyloyalty,likely_share,imag,old_new,veracity,img_path,img_set,img_idx,img_category
1,4.205882352941177,7.205882352941177,7.274509803921568,7.362745098039215,1.8823529411764703,4.65686274509804,3.784313725490196,4.813725490196078,4.696078431372549,2.950980392156863,f_21 thousand dead people registered on pennsylvania voter rolls.jpg,new since november,fake,stimuli/f_21 thousand dead people registered on pennsylvania voter rolls.jpg,,1,
4,2.9669421487603307,7.413223140495868,7.231404958677686,5.75206611570248,1.487603305785124,5.520661157024794,2.9669421487603307,4.43801652892562,3.5702479338842976,2.1818181818181817,f_aoc 9-11 not a big deal.jpg,new since november,fake,stimuli/f_aoc 9-11 not a big deal.jpg,,2,
5,1.650943396226415,3.716981132075472,3.69811320754717,6.216981132075472,2.547169811320755,6.283018867924528,2.556603773584906,3.481132075471698,2.981132075471698,1.8113207547169807,f_are you on trumps kill list stickers on mailbox.jpg,new since november,fake,stimuli/f_are you on trumps kill list stickers on mailbox.jpg,,3,
6,3.5045045045045047,5.423423423423423,5.414414414414415,2.045045045045045,5.576576576576577,4.468468468468468,3.5855855855855854,4.063063063063063,3.1531531531531534,2.756756756756757,f_biden lookalike tried to get free meals.jpg,new since november,fake,stimuli/f_biden lookalike tried to get free meals.jpg,,4,
8,2.271929824561404,5.052631578947368,4.87719298245614,2.298245614035088,4.324561403508772,5.833333333333333,2.754385964912281,3.219298245614035,2.719298245614035,1.9210526315789476,f_court orders tiger woods to take 137 paternity tests.jpg,new since november,fake,stimuli/f_court orders tiger woods to take 137 paternity tests.jpg,,5,
10,3.04040404040404,4.484848484848484,4.787878787878788,4.252525252525253,3.212121212121212,5.252525252525253,3.101010101010101,4.02020202020202,3.414141414141414,2.0707070707070705,f_cuomo coming out as bisexual for cabinet position.jpg,new since november,fake,stimuli/f_cuomo coming out as bisexual for cabinet position.jpg,,6,
11,2.611111111111111,4.916666666666667,4.861111111111111,2.453703703703704,2.75,6.444444444444445,2.4074074074074074,3.4166666666666665,2.5462962962962963,2.203703703703704,f_death row inmate demands to be served a live cat as last meal.jpg,new since november,fake,stimuli/f_death row inmate demands to be served a live cat as last meal.jpg,,7,
12,2.610526315789474,4.947368421052632,4.88421052631579,1.6631578947368422,5.431578947368421,5.315789473684211,2.9157894736842107,3.9368421052631577,2.442105263157895,2.2,f_delaware judge rules that baby yoda affair doesnt count.jpg,new since november,fake,stimuli/f_delaware judge rules that baby yoda affair doesnt count.jpg,,8,
13,5.241379310344827,4.198275862068965,4.224137931034483,4.862068965517241,1.362068965517241,3.5517241379310347,3.396551724137931,4.103448275862069,3.5086206896551726,2.5517241379310347,f_derek chauvin suicide in prison.png,new since november,fake,stimuli/f_derek chauvin suicide in prison.png,,9,
15,3.4408602150537635,7.408602150537634,7.236559139784946,7.333333333333333,1.5376344086021505,4.666666666666667,3.838709677419355,4.838709677419355,4.311827956989247,2.6559139784946235,f_dominion software deleted over 2 million votes.jpg,new since november,fake,stimuli/f_dominion software deleted over 2 million votes.jpg,,10,
17,3.1401869158878504,2.093457943925233,2.2523364485981308,6.91588785046729,1.7476635514018692,4.327102803738318,3.94392523364486,4.850467289719626,3.94392523364486,2.4018691588785046,f_fbi investigating whether trump spent 3 million buying votes.jpg,new since november,fake,stimuli/f_fbi investigating whether trump spent 3 million buying votes.jpg,,11,
18,3.227272727272727,6.209090909090909,5.945454545454545,6.754545454545455,1.4272727272727272,4.854545454545455,3.372727272727273,4.063636363636364,3.945454545454545,2.536363636363636,f_flynn exposes raid of cia vote hacking facility in germany.jpg,new since november,fake,stimuli/f_flynn exposes raid of cia vote hacking facility in germany.jpg,,12,
21,3.2967032967032965,7.043956043956044,6.769230769230769,6.472527472527473,2.021978021978022,4.791208791208791,3.879120879120879,4.461538461538462,4.054945054945055,2.6373626373626373,f_how a philly mob boss stole the election.jpg,new since november,fake,stimuli/f_how a philly mob boss stole the election.jpg,,13,
22,2.6166666666666667,4.958333333333333,5.008333333333334,1.8083333333333331,5.725,6.375,3.316666666666667,4.066666666666666,2.4,2.5416666666666665,f_legal battle expected over will left to sitcom character alf.jpg,new since november,fake,stimuli/f_legal battle expected over will left to sitcom character alf.jpg,,14,
24,3.782178217821782,5.069306930693069,5.188118811881188,3.702970297029703,3.4257425742574257,4.98019801980198,3.0594059405940595,3.831683168316832,2.98019801980198,2.445544554455445,f_male stripper shot 5 times after showing up in cop costume.jpg,new since november,fake,stimuli/f_male stripper shot 5 times after showing up in cop costume.jpg,,15,
25,2.98,4.36,4.52,6.79,2.04,5.51,3.43,4.59,4.03,2.11,f_mcconnell to cosponsor bill aimed at restricting voting rights to landowners.jpg,new since november,fake,stimuli/f_mcconnell to cosponsor bill aimed at restricting voting rights to landowners.jpg,,16,
26,3.139784946236559,3.6236559139784954,3.806451612903226,4.741935483870968,2.946236559139785,4.946236559139785,3.6344086021505375,4.301075268817204,3.6774193548387095,2.096774193548387,f_michelle obama thinks she deserves supreme court.jpg,new since november,fake,stimuli/f_michelle obama thinks she deserves supreme court.jpg,,17,
27,2.353982300884956,5.20353982300885,5.123893805309734,1.407079646017699,4.95575221238938,5.734513274336283,2.5929203539823007,3.309734513274336,2.8761061946902653,1.663716814159292,f_miller voted trump admins sexiest man.jpg,new since november,fake,stimuli/f_miller voted trump admins sexiest man.jpg,,18,
28,4.405172413793103,6.405172413793103,6.241379310344827,7.017241379310345,1.6293103448275863,4.163793103448276,3.698275862068965,4.689655172413793,4.336206896551724,2.8879310344827585,f_more proof postal workers busted dumping mail.jpg,new since november,fake,stimuli/f_more proof postal workers busted dumping mail.jpg,,19,
30,3.0163934426229506,7.598360655737705,7.344262295081967,7.60655737704918,1.721311475409836,4.885245901639344,3.1557377049180326,4.39344262295082,4.10655737704918,2.3278688524590163,f_new evidence dominion voting software was used by china to rig election.jpg,new since november,fake,stimuli/f_new evidence dominion voting software was used by china to rig election.jpg,,20,
31,3.827272727272727,5.209090909090909,5.2,6.290909090909091,1.4727272727272729,4.118181818181818,3.0727272727272728,4.0,3.190909090909091,2.3363636363636364,f_new mutated coronavirus in australia.jpg,new since november,fake,stimuli/f_new mutated coronavirus in australia.jpg,,21,
32,3.060344827586207,4.620689655172414,4.663793103448276,3.4827586206896552,2.784482758620689,6.525862068965517,2.2155172413793105,3.6206896551724137,2.577586206896552,1.7155172413793105,f_nj brother and sister allowed to marry.jpg,new since november,fake,stimuli/f_nj brother and sister allowed to marry.jpg,,22,
34,3.968421052631579,2.968421052631579,3.3157894736842106,3.168421052631579,3.284210526315789,3.273684210526316,3.9894736842105263,4.705263157894737,4.442105263157894,2.389473684210526,f_obama i already made america great.jpg,new since november,fake,stimuli/f_obama i already made america great.jpg,,23,
35,2.607476635514019,7.168224299065421,7.140186915887851,5.691588785046729,1.2242990654205608,6.121495327102804,2.9906542056074765,4.392523364485982,3.691588785046729,2.02803738317757,f_omar spits on the tomb of the unknown soldier.jpg,new since november,fake,stimuli/f_omar spits on the tomb of the unknown soldier.jpg,,24,
37,3.688679245283019,4.19811320754717,4.59433962264151,6.19811320754717,2.349056603773585,3.924528301886793,3.9150943396226414,4.716981132075472,4.339622641509434,2.3773584905660377,f_pelosi files to have trump tried before un court.jpg,new since november,fake,stimuli/f_pelosi files to have trump tried before un court.jpg,,25,
38,3.510204081632653,4.408163265306122,4.469387755102041,4.316326530612245,1.8775510204081636,4.112244897959184,3.2448979591836733,3.989795918367347,3.7857142857142856,1.7346938775510203,f_pence regrets that trump didnt do more to reverse gay agenda.jpg,new since november,fake,stimuli/f_pence regrets that trump didnt do more to reverse gay agenda.jpg,,26,
39,1.8189655172413792,5.482758620689655,5.353448275862069,5.637931034482759,2.0948275862068964,6.689655172413793,2.086206896551724,3.931034482758621,2.5689655172413794,1.793103448275862,f_planned parenthood announced abort-a-palooza.jpg,new since november,fake,stimuli/f_planned parenthood announced abort-a-palooza.jpg,,27,
40,3.613636363636364,7.897727272727272,7.818181818181818,7.261363636363637,1.7159090909090908,3.875,3.727272727272727,4.784090909090909,4.363636363636363,2.602272727272727,f_police told to investigate thousands of fake biden votes.jpg,new since november,fake,stimuli/f_police told to investigate thousands of fake biden votes.jpg,,28,
